genus_species,species_group
Entandrophragma_angolense,Entandrophragma
Entandrophragma_bussei,Entandrophragma
Entandrophragma_candollei,Entandrophragma
Entandrophragma_caudatum,Entandrophragma
Entandrophragma_congoense,Entandrophragma
Entandrophragma_cylindricum,Entandrophragma
Entandrophragma_delevoyi,Entandrophragma
Entandrophragma_excelsum,Entandrophragma
Entandrophragma_palustre,Entandrophragma
Entandrophragma_spicatum,Entandrophragma
Entandrophragma_utile,Entandrophragma
Khaya_agboensis,Khaya
Khaya_euryphylla,Khaya
Khaya_grandifoliola,Khaya
Khaya_ivorensis,Khaya
Khaya_nyasica,Khaya
Khaya_senegalensis,Khaya
Swietenia_humilis,Swietenia
Swietenia_macrophylla,Swietenia
Swietenia_mahagoni,Swietenia
